producttype,productvariant,A1-A3, A4 ,A5 ,C1 ,C1/1 ,C1/2,C2 ,C2/1 ,C2/2,C3 ,C3/1 ,C3/2,C4 ,C4/1,C4/2, D ,D/1,D/2,(A1-C4),(A1-C4)/1,(A1-C4)/2
LOOP,LOOP prime R35,1.31E+00,4.50E-01,1.14E-01,3.19E-02,0.00E+00,0.00E+00,4.40E-01,4.40E-01,4.40E-01,7.50E-01,0.00E+00,1.44E+00,4.24E-02,7.76E-01,2.43E-02,-6.48E-02,-6.48E-02,-6.48E-02,3.14E+00,3.09E+00,3.78E+00
LOOP,LOOP aurum R35,1.32E+00,4.52E-01,1.15E-01,3.21E-02,0.00E+00,0.00E+00,4.42E-01,4.42E-01,4.42E-01,7.54E-01,0.00E+00,1.44E+00,4.26E-02,7.81E-01,2.45E-02,-6.51E-02,-6.51E-02,-6.51E-02,3.16E+00,3.11E+00,3.80E+00
LOOP,LOOP prime R36,1.36E+00,4.66E-01,1.18E-01,3.31E-02,0.00E+00,0.00E+00,4.56E-01,4.56E-01,4.56E-01,7.78E-01,0.00E+00,1.49E+00,4.39E-02,8.05E-01,2.52E-02,-6.72E-02,-6.72E-02,-6.72E-02,3.26E+00,3.21E+00,3.92E+00
LOOP,LOOP aurum R36,1.36E+00,4.65E-01,1.18E-01,3.30E-02,0.00E+00,0.00E+00,4.54E-01,4.54E-01,4.54E-01,7.75E-01,0.00E+00,1.48E+00,4.38E-02,8.02E-01,2.51E-02,-6.69E-02,-6.69E-02,-6.69E-02,3.25E+00,3.20E+00,3.90E+00
LOOP,LOOP prime R37,1.38E+00,4.73E-01,1.20E-01,3.36E-02,0.00E+00,0.00E+00,4.63E-01,4.63E-01,4.63E-01,7.89E-01,0.00E+00,1.51E+00,4.46E-02,8.16E-01,2.56E-02,-6.81E-02,-6.81E-02,-6.81E-02,3.30E+00,3.25E+00,3.97E+00
LOOP,LOOP aurum R37,1.38E+00,4.74E-01,1.20E-01,3.36E-02,0.00E+00,0.00E+00,4.63E-01,4.63E-01,4.63E-01,7.90E-01,0.00E+00,1.51E+00,4.47E-02,8.18E-01,2.56E-02,-6.82E-02,-6.82E-02,-6.82E-02,3.31E+00,3.26E+00,3.98E+00
LOOP,LOOP prime R38,1.42E+00,4.85E-01,1.23E-01,3.45E-02,0.00E+00,0.00E+00,4.75E-01,4.75E-01,4.75E-01,8.10E-01,0.00E+00,1.55E+00,4.58E-02,8.38E-01,2.63E-02,-6.99E-02,-6.99E-02,-6.99E-02,3.39E+00,3.34E+00,4.08E+00
LOOP,LOOP aurum R38,1.41E+00,4.84E-01,1.23E-01,3.43E-02,0.00E+00,0.00E+00,4.73E-01,4.73E-01,4.73E-01,8.07E-01,0.00E+00,1.55E+00,4.56E-02,8.35E-01,2.62E-02,-6.97E-02,-6.97E-02,-6.97E-02,3.38E+00,3.33E+00,4.06E+00
LOOP,LOOP prime R39,1.43E+00,4.88E-01,1.24E-01,3.46E-02,0.00E+00,0.00E+00,4.77E-01,4.77E-01,4.77E-01,8.14E-01,0.00E+00,1.56E+00,4.60E-02,8.42E-01,2.64E-02,-7.03E-02,-7.03E-02,-7.03E-02,3.41E+00,3.36E+00,4.10E+00
LOOP,LOOP aurum R39,1.42E+00,4.86E-01,1.23E-01,3.45E-02,0.00E+00,0.00E+00,4.76E-01,4.76E-01,4.76E-01,8.11E-01,0.00E+00,1.55E+00,4.58E-02,8.39E-01,2.63E-02,-7.00E-02,-7.00E-02,-7.00E-02,3.40E+00,3.34E+00,4.09E+00
NORTEC,"Raised Floor System,Type NORTEC L28",,,,,,,,,,,,,,,,,,,1.07E+01,1.12E+01,1.24E+01
NORTEC,"Raised Floor System, Type NORTEC L30 & NORTEC aurum L30 & NORTEC L30 AL",,,,,,,,,,,,,,,,,,,1.15E+01,1.20E+01,1.32E+01
NORTEC,"Raised Floor System, Type NORTEC L34 & NORTEC aurum L34",,,,,,,,,,,,,,,,,,,1.30E+01,1.35E+01,1.50E+01
NORTEC,"Raised Floor System, Type NORTEC L36",,,,,,,,,,,,,,,,,,,1.48E+01,1.54E+01,1.70E+01
NORTEC,"Raised Floor System, Type NORTEC L38 & NORTEC LP38 & NORTEC aurum L38",,,,,,,,,,,,,,,,,,,1.44E+01,1.50E+01,1.66E+01
NORTEC,"Raised Floor System, Type NORTEC L40",,,,,,,,,,,,,,,,,,,1.51E+01,1.57E+01,1.74E+01
NORTEC,"Raised Floor System, Type NORTEC L42",,,,,,,,,,,,,,,,,,,1.80E+01,1.87E+01,2.06E+01
NORTEC,"Raised Floor System, Type NORTEC L44",,,,,,,,,,,,,,,,,,,1.88E+01,1.96E+01,2.15E+01
NORTEC,"Raised Floor System, Type NORTEC L38 ST & NORTEC LP38 ST",,,,,,,,,,,,,,,,,,,2.14E+01,2.21E+01,
NORTEC,"Raised Floor System, Type NORTEC G30 ST",5.32E+00,5.09E-01,1.43E+00,0.00E+00,0.00E+00,0.00E+00,5.01E-01,5.01E-01,5.01E-01,6.47E+00,0.00E+00,6.47E+00,3.77E-01,5.36E+00,3.77E-01,-1.25E+01,-4.84E-01,-1.25E+01,1.75E+01,1.80E+01,
NORTEC,"Raised Floor System, Type NORTEC G34 ST",,,,,,,,,,,,,,,,,,,1.96E+01,2.01E+01,
NORTEC,"Raised Floor System, Type NORTEC G38 ST",,,,,,,,,,,,,,,,,,,2.11E+01,2.17E+01,
NORTEC,"Raised Floor System, Type NORTEC U30 ST ST",,,,,,,,,,,,,,,,,,,2.55E+01,2.61E+01,
NORTEC,"Raised Floor System, Type NORTEC U36 ST",,,,,,,,,,,,,,,,,,,2.07E+01,2.13E+01,
NORTEC,"Raised Floor System, Type NORTEC power YP44 ST",,,,,,,,,,,,,,,,,,,2.93E+01,3.01E+01,
NORIT,NORIT-TE 20,5.05E+00,2.20E-01,4.38E-01,0.00E+00,0.00E+00,2.30E-03,1.09E-01,2.12E-01,1.17E-01,0.00E+00,3.72E+00,2.77E+00,3.37E+00,2.32E-01,2.84E-01,-3.02E-02,-4.84E+00,-7.49E+00,9.19E+00,9.87E+00,8.88E+00
NORIT,NORIT-TE 25,5.08E+00,2.21E-01,4.41E-01,0.00E+00,0.00E+00,2.31E-03,1.10E-01,2.13E-01,1.18E-01,0.00E+00,3.74E+00,2.79E+00,3.39E+00,2.33E-01,2.86E-01,-3.04E-02,-4.87E+00,-7.53E+00,9.24E+00,9.93E+00,8.94E+00
NORIT,NORIT High Deck 18,5.04E+00,2.19E-01,4.37E-01,0.00E+00,0.00E+00,2.29E-03,1.09E-01,2.11E-01,1.17E-01,0.00E+00,3.71E+00,2.76E+00,3.36E+00,2.31E-01,2.83E-01,-3.01E-02,-4.83E+00,-7.47E+00,9.17E+00,9.85E+00,8.86E+00
NORIT,NORIT Screed board,5.05E+00,2.20E-01,4.38E-01,0.00E+00,0.00E+00,2.30E-03,1.09E-01,2.12E-01,1.17E-01,0.00E+00,3.72E+00,2.77E+00,3.37E+00,2.32E-01,2.84E-01,-3.02E-02,-4.84E+00,-7.49E+00,9.19E+00,9.87E+00,8.88E+00
NORIT,NORIT Screed board ,5.05E+00,2.20E-01,4.38E-01,0.00E+00,0.00E+00,2.30E-03,1.09E-01,2.12E-01,1.17E-01,0.00E+00,3.72E+00,2.77E+00,3.37E+00,2.32E-01,2.84E-01,-3.02E-02,-4.84E+00,-7.49E+00,9.19E+00,9.87E+00,8.88E+00
NORIT,NORIT TE 25 ,5.08E+00,2.21E-01,4.41E-01,0.00E+00,0.00E+00,2.31E-03,1.10E-01,2.13E-01,1.18E-01,0.00E+00,3.74E+00,2.79E+00,3.39E+00,2.33E-01,2.86E-01,-3.04E-02,-4.87E+00,-7.53E+00,9.24E+00,9.93E+00,8.94E+00
NORIT,NORIT  N+F,5.04E+00,2.19E-01,4.37E-01,0.00E+00,0.00E+00,2.29E-03,1.09E-01,2.11E-01,1.17E-01,0.00E+00,3.71E+00,2.76E+00,3.36E+00,2.31E-01,2.83E-01,-3.01E-02,-4.83E+00,-7.47E+00,9.17E+00,9.85E+00,8.86E+00
ADDLIFE,Refurbished Hollow floor panel Lindner ADDLIFE (Representative Product),,,,,,,,,,,,,,,,,,,3.40E+00,,
RELIFE,Refurbished Hollow floor panel Lindner RELIFE (Representative Product),,,,,,,,,,,,,,,,,,,1.40E+00,,
RELIFE ST,Refurbished Hollow floor panel Lindner RELIFE (Representative Product),,,,,,,,,,,,,,,,,,,2.90E+00,,
